case,condition,run_idx,session_id,model_id,tokens_input,tokens_output,tokens_total,tokens_cache_read,tokens_cache_write,cost,wall_time_seconds,harness_wall_seconds,tool_calls,bash_calls,pdb_invocations,pytest_passed,golden_match,accuracy,pytest_summary,actual_output,expected_output,opencode_exit_code,opencode_stderr_tail
V1_blind_csv,without-skill,1,ses_1c00b5bfdffenCWD324UBD3bT9,accounts/fireworks/models/gpt-oss-20b,40346,3238,89369,45785,0,0.002665,66.62,67.52,4,0,0,True,True,True,7 passed in 0.01s,"Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0,"qb0n423cm6r04_v51wr80000gn/T/dse_V1_blind_csv_without-skill_edhjdua9/buggy.py | @@ -19,10 +19,11 @@ |  CSV_PATH = Path(__file__).parent / ""transactions.csv"" |   |   |  def parse_amount(raw: str) -> float: | -    """"""Convert the amount column to a float."""""" | -    return float(raw) | +    """"""Convert t"
V1_blind_csv,without-skill,2,ses_1c00a5390ffelJDypYFbPf5BaZ,accounts/fireworks/models/gpt-oss-20b,27842,2082,139218,109294,0,0.001808,73.46,74.36,9,3,0,True,True,True,7 passed in 0.02s,"Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0," string is empty (unlikely), raise a ValueError. | +    if not cleaned: | +        raise ValueError(f""Unable to parse amount: {raw}"") | +    return float(cleaned) |   |   |  def load_transactions(path: Path) -> list[dict]: |      transactions = [] |  | [0m | [0m$ [0mpython buggy.py | zsh:1: comma"
V1_blind_csv,without-skill,3,ses_1c0093043ffelT7vligqvl27oy,accounts/fireworks/models/gpt-oss-20b,7473,39,9461,1949,0,0.000381,1.73,2.61,1,0,0,False,False,False,"4 failed, 3 passed in 0.01s","<exit=1>  | stderr=Traceback (most recent call last):
  File ""/private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_V1_blind_csv_without-skill_2rrczy6e/buggy.py"", line 63, in <module>
    main()
    ~~~~^^
  File","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | [93m[1m! [0mpermission requested: external_directory (/*); auto-rejecting | [0m✗ [0mglob failed | [91m[1mError: [0mThe user rejected permission to use this specific tool call. | 
V1_blind_csv,with-skill,1,ses_1c00925c5ffe8DvpXHLkBU677H,accounts/fireworks/models/gpt-oss-20b,8037,7050,17031,1944,0,0.001812,56.38,57.18,0,0,0,False,False,False,"4 failed, 3 passed in 0.01s","<exit=1>  | stderr=Traceback (most recent call last):
  File ""/private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_V1_blind_csv_with-skill_bph6njd2/buggy.py"", line 63, in <module>
    main()
    ~~~~^^
  File ""/","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | 
V1_blind_csv,with-skill,2,ses_1c008457dfferN1JlebXNhlOIJ,accounts/fireworks/models/gpt-oss-20b,34479,5731,165163,124953,0,0.00287,99.46,100.35,10,2,0,True,True,True,7 passed in 0.01s,"Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0," ch.isdigit() or ch in "".-"") |      if cleaned == """": |          raise ValueError(f""Unable to parse amount: {raw!r}"") |      return float(cleaned) |  | [0m | [0m→ [0mRead transactions.csv[90m [offset=1, limit=20][0m | [0m✱ [0mGrep ""$""[90m in transactions.csv · 501 matches[0m | [0m✱ [0mGre"
V1_blind_csv,with-skill,3,ses_1c006bc9fffeMtNT65jn9i20AR,accounts/fireworks/models/gpt-oss-20b,38985,4484,130317,86848,0,0.002846,113.42,114.34,8,2,0,True,True,True,7 passed in 0.01s,"Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16","Top 5 customers by total spend:
  C0004: $11192.14
  C0029: $10659.35
  C0016: $9979.36
  C0028: $9851.57
  C0017: $9494.16",0,"or ch in raw if ch.isdigit() or ch in '.,-') |      cleaned = cleaned.replace(',', '') |      try: |          return float(cleaned) |      except ValueError: | -        # If conversion fails, assume zero spend |          return 0.0 |   |   |  def load_transactions(path: Path) -> list[dict]: |  | [0"
V2_pandas_chained,without-skill,1,ses_1c004fc43ffettIl6Qlr8y3Tqi,accounts/fireworks/models/gpt-oss-20b,7513,2636,12089,1940,0,0.000903,32.22,33.44,0,0,0,False,False,False,"3 failed, 3 passed in 0.59s",customers=60 total_spend=40846.64 mean_spend=680.78,customers=60 total_spend=37367.54 mean_spend=622.79,0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | 
V2_pandas_chained,without-skill,2,ses_1c0047740ffevuv0fX1yf4OAjM,accounts/fireworks/models/gpt-oss-20b,7516,2297,11753,1940,0,0.000835,21.21,22.1,0,0,0,False,False,False,"3 failed, 3 passed in 0.14s",customers=60 total_spend=40846.64 mean_spend=680.78,customers=60 total_spend=37367.54 mean_spend=622.79,0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | 
V2_pandas_chained,without-skill,3,ses_1c0041f56ffei4FWJ6DUoxy6yV,accounts/fireworks/models/gpt-oss-20b,19056,2014,34419,13349,0,0.001356,60.76,61.57,2,0,0,False,False,False,1 error in 0.21s,"<exit=1>  | stderr=File ""/private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_V2_pandas_chained_without-skill_qibiy76e/buggy.py"", line 1
    @@
     ^
SyntaxError: invalid syntax",customers=60 total_spend=37367.54 mean_spend=622.79,0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | [0m→ [0mRead buggy.py | [0m | [0m← [0mWrite buggy.py | Wrote file successfully. | [0m | 
V2_pandas_chained,with-skill,1,ses_1c0032cdfffe6USziH0jU5Lhzh,accounts/fireworks/models/gpt-oss-20b,18068,587,42683,24028,0,0.001021,53.73,54.64,3,0,0,False,False,False,1 error in 0.21s,"<exit=1>  | stderr=File ""/private/var/folders/8d/f0zzqb0n423cm6r04_v51wr80000gn/T/dse_V2_pandas_chained_with-skill_mwou63b_/buggy.py"", line 35
    return df
    ^^^^^^^^^
SyntaxError: 'return' outside function",customers=60 total_spend=37367.54 mean_spend=622.79,0,"ggy.py | @@ -28,11 +28,12 @@ |      """"""Discount premium customers by `rate` (e.g. 0.10 for 10%). |   |      Mutates df in place AND returns it for convenience. |      """""" | -    premium = df[df[""spend""] > threshold] | -    premium[""spend""] = premium[""spend""] * (1 - rate) | -    return df | +mask = d"
