case,condition,run_idx,session_id,model_id,tokens_input,tokens_output,tokens_total,tokens_cache_read,tokens_cache_write,cost,wall_time_seconds,harness_wall_seconds,tool_calls,bash_calls,pdb_invocations,pytest_passed,golden_match,accuracy,pytest_summary,actual_output,expected_output,opencode_exit_code,opencode_stderr_tail
H1_rolling_stats,without-skill,1,ses_1c022b0d5ffe0vIb3aUO3vHT9l,accounts/fireworks/models/gpt-oss-20b,20537,2226,67757,44994,0,0.001472,66.5,67.71,5,0,0,True,True,True,7 passed in 0.00s,"cpu: n=4 mean=50.0 max=100.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=5.0","cpu: n=4 mean=50.0 max=100.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=5.0",0,+        else: | +            # Cached max is stale; keep as None until next query recomputes | +            pass | +        if self._cached_min is not None: | +            if value < self._cached_min: | +                self._cached_min = value | +        else: | +            # Cached min is stale;
H1_rolling_stats,without-skill,2,ses_1c021a8d5ffedUbKGdIilh2PRZ,accounts/fireworks/models/gpt-oss-20b,19486,2409,45228,23333,0,0.001456,86.38,87.27,3,0,0,True,True,True,7 passed in 0.00s,"cpu: n=4 mean=50.0 max=100.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=5.0","cpu: n=4 mean=50.0 max=100.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=5.0",0,"max = None |          if self._cached_min is not None and popped == self._cached_min: |              self._cached_min = None | +    # If a new value extends the current extremum, invalidate the cached value | +    if self._cached_max is not None and value > self._cached_max: | +        self._cached_"
H1_rolling_stats,without-skill,3,ses_1c020512dffeT6lKn5YdC0SSyV,accounts/fireworks/models/gpt-oss-20b,7531,72,9550,1947,0,0.000391,6.77,8.17,1,0,0,False,False,False,"2 failed, 5 passed in 0.00s","cpu: n=4 mean=50.0 max=50.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=50.0","cpu: n=4 mean=50.0 max=100.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=5.0",0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | [93m[1m! [0mpermission requested: external_directory (/*); auto-rejecting | [0m✗ [0mglob failed | [91m[1mError: [0mThe user rejected permission to use this specific tool call. | 
H1_rolling_stats,with-skill,1,ses_1c0202d1effeYdSr28haMPA054,accounts/fireworks/models/gpt-oss-20b,8085,110,10139,1944,0,0.000426,6.32,8.64,1,0,0,False,False,False,"2 failed, 5 passed in 0.00s","cpu: n=4 mean=50.0 max=50.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=50.0","cpu: n=4 mean=50.0 max=100.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=5.0",0,[0m | > build · accounts/fireworks/models/gpt-oss-20b | [0m | [93m[1m! [0mpermission requested: external_directory (/*); auto-rejecting | [0m✗ [0mglob failed | [91m[1mError: [0mThe user rejected permission to use this specific tool call. | 
H1_rolling_stats,with-skill,2,ses_1c020107fffe74tYKZUAyjd7cf,accounts/fireworks/models/gpt-oss-20b,21824,4895,43342,16623,0,0.00207,77.75,78.63,2,0,0,True,True,True,7 passed in 0.00s,"cpu: n=4 mean=50.0 max=100.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=5.0","cpu: n=4 mean=50.0 max=100.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=5.0",0,ached_max = None |          if self._cached_min is not None and popped == self._cached_min: |              self._cached_min = None | +    # Invalidate extremum cache if new value extends the cached extremum | +    if self._cached_max is not None and value > self._cached_max: | +        self._cached_
H1_rolling_stats,with-skill,3,ses_1c01edc5cffeToEpVQC2ab0k22,accounts/fireworks/models/gpt-oss-20b,22409,5625,89652,61618,0,0.002245,121.07,122.08,6,3,0,True,True,True,7 passed in 0.00s,"cpu: n=4 mean=50.0 max=100.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=5.0","cpu: n=4 mean=50.0 max=100.0 min=10.0
mem: n=4 mean=51.25 max=90.0 min=5.0",0,"python3 - <<'PY' | from buggy import RollingStats | r=RollingStats(3) | for v in [1,2,3]: |     r.add(v) | print('max',r.max()) | print('min',r.min()) | r.add(5) | print('after 5 max',r.max()) | print('after 5 min',r.min()) | PY | max 3 | min 1 | after 5 max 5 | after 5 min 2 | [0m | [0m$ [0mpyth"
H2_token_bucket,without-skill,1,ses_1c01cfe1bffebMHZoowqOczlqe,accounts/fireworks/models/gpt-oss-20b,18418,1125,61697,42154,0,0.001146,68.28,69.51,5,0,0,True,True,True,6 passed in 0.00s,"accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}","accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}",0,"/T/dse_H2_token_bucket_without-skill_dma42fur/buggy.py | @@ -41,9 +41,9 @@ |          self.last_refill = now |          return |      elapsed = now - self.last_refill |      # Integer truncation here would lose fractional tokens — keep as float. | -    new_tokens = int(elapsed * self.refill_rate) | "
H2_token_bucket,without-skill,2,ses_1c01bee4bffe8i6p5gCSxPuDoh,accounts/fireworks/models/gpt-oss-20b,24285,3015,110231,82931,0,0.001817,58.73,59.83,8,0,0,True,True,True,6 passed in 0.00s,"accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}","accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}",0,    elapsed = now - self.last_refill | -    # Integer truncation here would lose fractional tokens — keep as float. | -    new_tokens = int(elapsed * self.refill_rate) | +    # Preserve fractional tokens: accumulate exact refill amount. | +    new_tokens = elapsed * self.refill_rate |      self.toke
H2_token_bucket,without-skill,3,ses_1c01b0488ffeMQwl3ggMobjfGf,accounts/fireworks/models/gpt-oss-20b,10021,1302,54403,43080,0,0.000761,60.27,61.24,4,0,0,True,True,True,6 passed in 0.00s,"accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}","accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}",0,"@@ -41,9 +41,9 @@ |          self.last_refill = now |          return |      elapsed = now - self.last_refill |      # Integer truncation here would lose fractional tokens — keep as float. | -    new_tokens = int(elapsed * self.refill_rate) | +    new_tokens = elapsed * self.refill_rate |      self."
H2_token_bucket,with-skill,1,ses_1c01a14edffePyQwLr0gMm1I6N,accounts/fireworks/models/gpt-oss-20b,19716,1194,56784,35874,0,0.001225,61.35,62.24,4,0,0,True,True,True,6 passed in 0.00s,"accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}","accepted=6 rejected=2 final={'a': 0.5, 'b': 4.5}",0,"ju8s/buggy.py | @@ -41,9 +41,9 @@ |          self.last_refill = now |          return |      elapsed = now - self.last_refill |      # Integer truncation here would lose fractional tokens — keep as float. | -    new_tokens = int(elapsed * self.refill_rate) | +    new_tokens = elapsed * self.refill_r"
